uid	iids
10	4893,4423,12708,4773,6502,2022,7434,9079,110,2817,1982,121,40,2952,352,11631,5042,719,2739,612,8978,2,2957,10304,10304,11482,2652,1497,13224,14819,15895,242,2055,4968,7581,14185,15151,2796,5941,16043,625,14041,3315,19,47,4298,11065,24,11149,12647,16215,7415,2031,7896,12666,13581,14604,4427,15840,666,5058,4529,6466,1074,4185,4983,7571,20020,1050,3868,3994,5980,6904,2596,4307,14451,953,5106,189,3114,9894,9894,14776,19507,6526,13077,10074,10074,11648,13256,19120,15907,312,14946,16564,2702,5102,2547,2751,16278,18050,1005,2160,3860,4374,5338,12041,4325,8071,4085,4682,13984,2226,14070,17865,18647,8753,14380,6075,7460,2268,518,19537,3143,8173,19244,7140,6813,174,3341,20111,16639,2780,18644,14940
11	7498,9535,9540,10100,10764,10100,10764,14041,12740,17195,7198,869,1396,3000,4802,5787,6371,7542,7728,8680,12066,12123,15333,15394,17252,93,176,920,2957,3009,3888,3906,7107,7252,8246,8464,9363,2,635,886,4526,4529,8063,9365,11564,13640,15449,17381,20411,7073,6337,6485,2042,7226,15471,11843,12014,13322,4615,5673,6794,10018,10018,8682,926,3930,4259,10658,10820,10658,10820,11581,5166,7948,8079,1033,1223,2546,2659,10613,10613,11232,467,1588,1786
12	298,2965,3130,2705,4345,4366,4372,4300,4603,1400,4366,4851,2174,3580,3970,720,174,2028,5939,4864,247,2052,2160,2585,5221,4863,20235,1770,1005,3642,2083,166,166,2347,1483,2350,121,248,3278,763,2377,1148,4710,6253,1982,3666,6410,5117,4307,4295,4378,3417,4908,7314,7525,8770,1735,2235,9582,2925,8799,1178,7406,10441,10868,10441,10868,2331,4915,2537,242,10053,10053,5268,11623,9803,4324,1957,13359,2031,2,2751,2872,3143,3140,12793,14497,12547,11598,9209,620,6228,518,1960,3540,7799,4206,15259,9521,19277,13406
13	2546,2461,3198,11006,931,3652,3652,3652,895,729,103,1223,1087,1037,3015,6032,956,12956,2,13638,13164,15398,15398,1640,6451,2352,13630,425,716,4893,3742,13409,856,2326,16055,7026,7801,2817,94,5189,10559,10559,1100,17221,17610,1678,5467,17082,14624,17083,5764,9642,2790,2572,2346,17880,266,2739,8009,17709,18482,8059,7462,18333,18918,18918,18915,15902,19595,5297,18901,19404,19414,2466,6604,19388,7091,6485,19504,19484,19540,19688,19593,19674,12039,19946,5777,19814,2890,19986,19960,19814,20096,20096,19972,20192,6888,20391,20391,20507
14	581,618,5235,228,1100,2428,1894,6387,1799,3888,244,6638,9032,3397,3550,4279,1942,19538,2603,3640,6875,4065,308,4357,5399,1250,3098,6895,4313,7237,923,1251,511,4915,19,2976,7403,633,968,995,2603,869,1106,567,6758,1937,1425,1569,959,5405,7320,945,3046,7810,2169,5499,265,4966,5778,105,337,6358,692,7811,7330,6325,4894,254,1849,552,1803,5137,7489,4901,6008,1945,6902,1019,6449,8071,565,2622,3975,536,6683,1789,8126,2546,3722,2855,8525,183,5612,8279,2031,7184,3544,3432,8937,2579,2030,2381,1827,2751,2,2872,2215,3143,601,5609,6183,3951,6794,3659,5957,121,2291
15	3919,2461,6756,2271,2388,2505,2358,2870,4071,698,4181,5334,2,428,6346,5509,5546,7142,5303,7339,472,7403,5992,500,738,1001,163,5535,529,2161,7903,5104,8081,7418,1140,7587,7067,11021,7373,2333,3006,8693,7646,8973,8430,10017,10017,10431,10431,590,10641,10641,10919,11730,11437,11924,12360,20411,10138,10138,15354,15936,2276,16175,11982,17455,17542,17527,15891,9068,10366
16	2039,3341,1313,1801,2222,4320,827,2475,4480,1999,4471,1963,2965,3490,1109,2927,2438,365,3361,2833,1222,3427,4132,2412,1056,8017,1906,1592,7387,556,4291,3774,2112,3951,1763,3309,1679,1998,1877,3548,573,2304,910,1736,4330,6593,113,882,16472,2957,4961,4101,1376,6032,3927,3714,5133,2112,4114,4831,3143,4528,2,890,4529,2031,4526,6228,4738,6371,6471,2872,3089,2751,2081,5362,6027,4232,536,1121,905,633,473,2447,1655,648,2030,3118,6486,526,6360,4459,4682,1052,2029,4700,465,1865,6559,2287,4543,6248,2055,7581,964,5329,6926,3606,208,3507,5469,3486,2359,250,44,2326,6504,1067,4701,1074,1050,3994,7202,5942,3214,2450,3153,1482,5112,4890,5941,887,6014,3,1249,3940,5368,415,3099,4985,3954,7014,7302,4992,7226,15471,6213,4711,4185,7390,11504,20504,1163,934,558,6908,2729,4970,7123,432,5866,7404,1251,2267,6092,6897,3,7192,11797,7656,1330,6609,7537,7765,7840,5980,7817,8099,1679,8909,9401,10311,10311,10701,10701,10787,10787,9541,648,9759,1544,12154
17	5515,1603,6776,878,951,854,1543,4436,248,1154,3870,2296,4186,5763,298,3629,1222,3638,4849,240,8437,262,1829,4522,3075,1516,242,1311,4776,2573,11590,11040,6808,1907,1923,575,4400,2663,7720,694,12334,4893,3367,14,5040,1956,1806,2928,5988,6605,4385,4403,10027,10027,20476,87,13527,11890,7693,8679,7229,5530,2780,920,955,6507,3549,16073,5554,3,6376,5104,18665,18927
18	5251,6033,6041,1703,7147,7207,1508,7890,167,7967,4786,2009,5104,5573,3189,7224,7225,4995,20224,4409,4616,6420,4994,3868,4372,4927,61,3537,3894,4573,4840,20395,3881,3945,3888,4943,539,3918,2160,3860,4374,1005,4915,4983,20020,4351,9832,9832,11394,1449,5653,11623,174,719,1272,730,11557,14860,3871,10530,10530,10381,10381,10024,10024,12986,3859,5106,4931,8097,11963,9446,20164,4886,10149,10149,12199,12198,1980,954,3073,3,3089,4185,1735,4286,3861
19	6810,6687,6791,7008,7214,7356,2817,6264,2095,11898,11899,7372,3,2794,61,5821,4307,7608,2160,2503,2511,4374,3860,3860,7635,2950,7390,11504,20504,7448,4996,4942,4962,4965,7175,16326,4992,2694,3193,3282,4336,4424,4946,6934,4950,6776,5636,6240,2806,4230,5902,1054,3263,6002,2173,4399,7243,4966,6946,8042,4970,7123,4775,4865,4919,4915,5010,5017,6806,7944,7946,6683,4984,8008,4979,6710,7130,6878,7107,240,6746,6908,6959,6904,6250,7192,7377,2169,5499,3235,8013,3466,3472,4115,134,6092,6897,8217,2800,7967,3175,8706,4409,556,5104,8311,8013,5023,2750,39,39,7904,7904,6742,7302,7660,967,4988,6536,7434,7880,5055,5042,7569,4313,7181,1418,1806,8559,7330,526,1909,4881,4289,20308,7639,962,4901,6008,8305,544,564,599,6902,802,8128,7553,7740,5165,7962,8392,4333,5045,2097,4386,8982,8871,5935,5049,3301,11069,8400,184,3009,9383,5057,8754,8069,4892,6505,4948,8445,1982,694,8226,1220,9139,7269,1178,889,4786,7864,9606,8227,9356,6215,4921,6660,2296,5067,247,5835,6655,5794,6873,390,9808,9808,8253,6884,6884,9626,8712,19482,4899,8047,2404,2516,205,4218,6507,5084,11292,11881,581,11795,11812,2401,11806,10746,10746,10011,10011,773,11112,1985,5752,7572,12406,12851,13393,8517
20	3282,2313,3493,5703,825,3300,3913,3307,125,4368,1808,4849,1901,4836,3642,5698,5699,2498,2563,2794,2009,2457,2302,4380,854,3196,861,5668,2406,3070,3179,391,4192,2146,2793,4591,2946,3562,242,976,3780,4078,1155,157,2599,515,2527,878,2775,2994,5795,1716,4325,623,666,1258,1810,510,4676,4458,142,4736,1910,1710,2189,6057,188,1413,1439,1490,1465,3618,4612,2796,5611,3301,5945,3287,3657,4727,249,11598,1046,6043,12841,1792,4107,4241,5355,1768,11585,4889,138,4352,1454,1855,4141,11673,1477,646,5295,5489,4359,5364,5636,5353,1449,5342,1125,189,6153,1563,2308,5622,5626,5267,444,5838,3203,781,1453,3771,3562,4766,4770,52,84,91,1426,3205,6333,3874,655,199,2814,3541,4333,3645,3,9832,9832,11394,6168,6436,494,6437,5143,6438,19397,6433,5891,1527,4372,2024,4036,2957,6245,5672,829,3251,1475,5345,761,37,6669,4337,6400,3169,2540,3870,2373,2561,6659,5002,6816,6794,4946,3089,4876,3531,7016,3325,4953,356,356,15294,3555,7069,6980,861,3247,3555,4927,6277,9608,4036,5100,7109,7182,7106,890,7100,7089,6196,7104,7147,7241,4207,6016,4269,4262,7175,35,4957,7383,7237,4931,7190,321,5309,4981,3003,7286,3815,7398,4107,6178,444,6142,7310,7431,761,4349,7306,7390,11504,20504,4996,6919,7492,7223,7448,7022,6908,7512,7537,2503,2511,7593,7740,7535,7618,5381,7660,4303,6792,6092,6897,3945,2741,2195,3311,3326,2452,3587,4988,5643,3613,11213,7727,5042,7463,4346,7486,3640,4983,20020,7783,7758,7906,167,7528,7967,5104,2034,3203,4289,719,4390,2831,2476,2910,5861,1316,8121,7897,5015,275,7505,8312,8537,6306,8223,20505,8526,5094,8492,4719,8035,2906,2274,8461,1902,8533,5034,5103,5057,4777,8749,1009,7636,8927,9034,8761,5064,8784,15264,9111,9129,5081,19615,20256,8306,668,9271,3840,5277,2625,9675,695,1279,6205,7585,4224,7449,10071,10071,9801,9646,10068,10068,5623,10375,10375,10196,10196,834,9568,39,7904,10490,10490,9815,9815,7893,3957,10250,10250,2911,1711,663,8619,10767,10767,7949,544,564,599,802,10894,10894,11463,3180,10093,10093,8630,2141,11339,8737,11249,11252,8214,12528,4550,7849,8574,3547,7907,1200,6615,12429,9027,399,10891,10891,11916,6887,13011,11393,3536,4128,11198,10011,10011,13499,13871,262,12661,8045,14079,2277,4243,12851,13468,13935,11563,17617,10997,4919,502,8618,2023,797,13922,5413,14273,6778,11874,3842,3206,5577,7064,3543,15230,14787,12597,3998,13775,14262,15386,4606,535,17296,14878,7171,19327,4336,1512,17171,7787
21	4366,511,3967,5617,16325,1982,819,698,4181,1956,1657,903,2885,212,1792,2183,5383,3730,4222,5844,5846,93,1909,37,4393,4168,4332,474,1176,5356,548,11645,3470,8071,5355,1260,5480,4881,2233,3342,1575,5848,734,169,6049,595,5688,6884,962,5983,1525,7341,3179,8754,1768,11585,775,694,149,4886,4203,4899,8047,5151,2268,906,1083,1019,4863,5962,8754,2205,3369,4030,464,535,543,1080,2549,3954,504,4279,2366,4185,5226,6233,4864,6107,5551,1703,1717,781,835,1582,1594,986,2959,5980,1340,1858,39,7904,4921,6301,6404,4940,1249,261,6668,16631,3662,3971,10062,10062,2937,6033,1768,11585,2521,3435,20221,2881,854,878,2710,6738,4915,6806,4336,3300,24,11149,5030,3766,4943,6901,6553,6829,6776,61,3189,1674,7952,6980,7132,7133,6791,7008,6617,3860,666,262,1447,7263,7390,11504,20504,3623,598,7272,4478,544,564,802,4919,7126,5033,5611,7544,599,6002,4876,4995,20224,3659,667,7643,627,7593,167,3265,2668,1470,2347,3706,2377,661,4710,556,1414,2448,526,5262,3009,3552,1136,1159,1449,2814,1031,3241,1092,48,1863,938,5032,5045,7363,248,247,1355,9051,10605,10605,2407,5098,9676,9078,10866,10866,8135,11793,1225,9479,544,11945,10313,10313,5604,2725,7280,12365,6460,12475,308,1617,12018,6285,11022,8090,10208,10208,6131,495,11630,10210,10210,10303,10303,11555,11283,3087,13269,5040,15381,609,8455,7825,13164,6659,13424,522,12923,11395,14051,13499,12651,2088,10225,10225,3960,13589,4931,8097,5054,10149,10149,13922,13591,12199,12198,12908,13638,9224,13792,6946,12924,11521,5036,12781,755,4470,14136,1192,12378,10866,10866,10135,10135,4986,14888,12922,6002,2589,11793,10858,10858,5146,8868,14788,14941,14792,160,3075,15168,15070,155,12370,14981,1493,14802,15935,11112,20382,17032,12281,14380,13961,15315,15104,14895,16342,17821,12886,12563,14695,16058,15701,17213,11734,12271,9500,12479,14813,16563,16161,15973,15202,14494,14497,14495,12490,13786,16620,3028,3197,5038,17374,8439,15936,8837,11800,14948,17455,17493,17523,17188,5029,17396,17672,896,11551,6282,16558,13930,17221,6884,11491,19974,946,7087,7409,11867,17403,1005,16987,4948,2573,17332,1105,14799,15265,4362,4941,14795,17085,17882,17610,31,8408,1220,1975,13359,15841,503,15832,11422,1154,18273,12689,17408,18887,1065,15462,15843,4184,18356,8997,9615,200,1416,9822,9822,19120,965,11856,18986,3178,3074,11361,19342,19412,10696,84,19310,17675,19783,17308,17866,19652,8211,19674,251,966,20086,634,1563,5295,19873,20099,20337,15673,20122,3167,566,11623,1971,720,3540,18700,1855,11673,7206,20163,20456,8835,11802,10618,608,3894
22	4206,242,1414,2448,556,3536,4128,4335,8055,3484,2081,4325,3899,4738,118,4716,1497,1046,95,627,53,1779,4081,5362,5534,1026,4325,1618,5443,4366,3174,19,2509,5382,2081,4635,4849,4358,4369,4890,1788,4366,981,4830,556,1483,4862,526,5645,3009,4881,4851,4851,4366,4890,6075,5635,1799,4248,5715,618,5235,5534,5403,4881,5929,6078,4206,4899,8047,6884,6294,6075,6884,4851,3,6075,4899,8047,431,5980,4851,4863,6526,18,1826,3098,1720,981,4619,4863,5980,19663,20235,1498,1168,6502,2212,6970,6075,6420,98,6746,252,6776,7434,6515,189,2920,4931,6904,4965,5017,39,7904,3860,2994,5927,7438,5706,7372,2173,4996,4983,6707,20020,1982,4307,7677,5042,4886,5104,3549,5023,8097,8252,5029,8085,6183,20505,8356,1005,20308,9001,946,7087,5102,8727,7530,8769,4999,8556,5058,9078,5396,2051,6066,8279,5107,5023,7985,9435,7340,8866,5067,10243,10243,9356,10167,10167,9888,9888,5098,5106,6460,3999,5502,1119,5084,11173,10665,10665,11811,3091,5112,1569,196,6698,4959,9201,11480,11556,11564,17381,11968,8337,8781,12287,12799,1007,7600,3056,8228,8719,3789,13926,14195,15635,13923,13932,16278
23	1978,6247,4129,3153,3544,982,948,174,2038,2331,2804,4108,2758,121,720,191,3468,3493,5703,3586,1247,3,2151,4325,4349,3549,2096,169,821,2374,4340,5128,20395,4495,2866,2891,3819,3936,15290,8496,5232,2512,1222,2659,4372,1478,2850,3275,5325,5463,316,869,14,69,1000,5258,5302,5655,5459,740,4390,11600,5280,5567,5645,4368,3740,4843,1739,4488,3618,5310,4010,4904,3051,2910,5311,6102,4488,3552,6097,2670,3735,6194,5918,2245,6907,6719,7134,6890,1099,367,15669,7383,6629,4627,7813,7620,7640,6102,7687,4242,5207,4406,7618,3552,2826,5178,2382,3037,6839,4717,5089,3789,7743,6629,3006,10562,10562,10726,10726,11631,10332,10332,8977,11118,12781,11589,10727,10727,13645,11074,11272,11877,11877,9839,9839,11439,14083,11318,12054,10698,10698,10108,14389,11151,9,325,17270,17272,9552,12375,5310,10475,10475,17110,17221,18050,18376,4478,3846,4488,12474,9890,9890,6751,18918,17784,17082,19554,18205,19946,18962,14701,8510,9924,3860,12884,19513,7033,18862,19003,20565,15687,19138,20269,17905,19884,797,16836,18649,20391,15055,11930
24	317,4893,14819,15895,262,17685,5001,6687,6791,7008,6328,13421,2834,10381,10381,10304,10304,10981,53,3416,4144,4307,19056,19060,19148,20505,3662,16722,9446,20164,170,17869,15749,6569,18647,2230,19095,6990,5161,19011,4206,4817,6884,1609,3691,3695,5087,8049,288,3311,3326,4287,4372,7147,9044,15345,17875,194,223,5017,882,183,4238,5612,15520,4,20588,618,5235,2428
25	666,1982,93,2860,15552,661,444,488,2881,18381,17815,6309,9642,12650,2271,18247,19653,20109,17210,2758,14763,12887,17129,14238,17252,18534,239,10047,10047,18660,18896,17120,11607,17128,19119,20122,17124,2400,11218,17226,14587,18592,1083,1112,7605,13493,18751,8688,14539,1905,4,19890,20063,4279,4995,9632,20224,14288,288,4819,9044,2817,4499,13922,14613,18994,19898,14605,2265,4297,3917,9224,9960,9960,18796,1499,1982,669,4120,12176
